id	subtask_b	tweet
36339	0	@USER Hey Bono- Why not turn your Dublin hotel over to refugees? Asshole!
40316	0	@USER Turn them loose and see what happens to her city. People like her is what gives the Democrats a bad name. She is risking the entire population of Atlanta. Wonder how the citizens like it. We'll see at the ballot box
95958	0	@USER Ridiculous comment the only way liberals make government work is when conservatives go along with their ideas. Tbqh less government is always better than more unless your a socialist. Most time government passes a new law i lose money n Liberty .
70322	0	@USER @USER Rubio sat through a 2-hour town hall in February answering questions from the public about gun control from people whose friends and children had just been murdered. That takes more courage than grandstanding and lying in a stupid hearing.
42741	0	@USER Stay well clear. She is unhinged.
22260	0	@USER @USER @USER @USER do you like/love Louis Farrakhan because he is a racist or an anti Semite? Which one?
42778	0	@USER idc if you suck i just wanna have fuuun
74015	0	@USER Sorry but bloodsuckers are bad almost as bad as elves like you are dating an undead monster who cant be controlled and even if they can be controlled  you will  die before her and make her have mental issues
95262	0	@USER Great Gun Control! Takes Concentration and Steady Hand! Way to Go Girl! URL
45761	0	@USER He orchestrated/provoked it so that he could cry that he was the victim of a yet another conspiracy...He is such desperate weirdo.
71844	0	@USER Bitch im gonna see you on december dont me. We have to see each other
22728	0	@USER #StrataData #AI #data #hairball: @USER TDavis touring the application of #Cognitive and  machine learning techniques to speed #Governance of #data URL
17891	0	@USER BUT MR. JOHN KERRY POTUS IS GETTING THE JOB DONE IN SPITE OF DEMOCRATS LIKE YOU WHO GROVELED TO THE IRANIAN MULLAH AND TRIED TO BUY H i am  OFF WITH PALLETS OF  Canada SH &amp; RELEASING FROZEN FUNDS! YOU &amp; OBAMA'S CROOKED DEAL HAS HELPED FUND TERRORISM WORLDWIDE! TAKE A WALK INTHE WOODS W/HRC
33449	1	@USER The first person got it by having sex with animals..
32717	0	       @USER If only he were the craziest MF out there. Sadly, he is NOT. There are far worse examples of good Christians.                       
87429	0	@USER you at the prospects game? #fatbastard
87713	0	       @USER @USER WTF @USER &amp; @USER seriously... what manner of bigoted platforms are you running that label an exhortation for children, black or other, to Stay In School        ?  #JackDorseyIsAbigot  #MAGA #KAG               
81967	0	@USER Cali already has some of the most strict gun control laws in the county. And you can't blame this on on Indiana.
49549	0	@USER This just proves that liberals have no shame whatsoever. He is a deceiver and a proven liar. Has the nerve to speak of “casting a shadow.”
46049	0	@USER Yeah. Gun Control Act of 1968 also uses a lot of innuendoes for black people and ghettos in its text.
32697	0	@USER @USER He is virtue signaling playing with young minds. He also thinks he can weaponise it in an attempt to stop Brexit. @USER  is a disgraceful vile man to be honest he does not care who or what he uses to get what he wants.
62169	0	@USER Oppression... We need to start a movement.   Could be worse they could be Antifa dogs :)
75614	0	@USER @USER @USER Sanchez sucks. He is killing this Team  i am O.
37268	0	@USER I thought that I could not dislike anyone more than your father but I was wrong.  You are even more PATHETIC than he is.  Your children must be so proud to have a father who behaves like you.  Tick tock....  #MuellerIsComingForYouToo #PatheticLittleManJr
73300	0	@USER @USER @USER @USER He totally dodged the question about how he is making millions of dollars off Stormy Daniels while she still has to strip to make a living. He is unethical.
40003	0	@USER Fallon is a woosy
43851	0	@USER @USER @USER please get OFF first take! You yell wayy too much and you seem like you are being a asshole. When you are on set I litterly can't hear anything but screaming. Its obvious @USER dont like you and @USER and @USER was like dude stfu!!
32384	0	@USER Be quiet SheDevil URL
50949	1	@USER @USER @USER @USER The educational system is controlled by liberals and works to enslave the minds of our children. The chains of mental enslavement must be removed in order to save the future of our great nation  Flag: United States 
31282	0	       #Kavanaugh issues more detailed response, confirms the view that he deserves an opportunity to defend his reputation: This is a completely false allegation. I have never done anything like what the accuser describes—to her or to anyone....         URL       
84020	0	@USER @USER @USER @USER @USER No we do not! There has been videos of Trump supporters blocking kkk and sending them away! We do not accept racism. He said “There are fine people on both sides”. That includes antifa but go ahead and pick and choose your information.
66279	0	@USER @USER I understand I sound cold-but I love Nintendo. This money grubbing bastards 😹
34899	0	@USER @USER TRUMP IS A FUCKING ASSHOLE AND IF YOU THINK OTHERWISE THEN YOUR AN IDIOT. MY FRIENDS IN PR WERE HURT. YOU ARE THE ONE THAT NEEDS TO GET EDU Canada TED. I EDU Canada TE MYSELF EVERYDAY I TALK TO THEM EVERYDAY. SO STFU
62585	0	       @USER @USER @USER I purposefully had my damsel         be a bit of a badass. She is saved by the protag, saved by the third party member, and sticks her neck out to save their hind quarters just as often (if not more!). Sure, she may have ulterior motives ( Asterisk evil laugh Asterisk ) but she is still pretty kickass!               
61006	0	@USER This will be settled and will never see a jury. We will never know the truth. Maybe she grabbed him first while swapping spit or he is really that stupid to just grab her. Either way I doubt we will ever know the complete truth.
98976	0	       99.9percent of the Alumni         standing up for #ChristineBlaseyKavanaugh  did not  even know her....and none are witnesses to her         stories.         DemocRATS &amp; Liberals are just to destroy America.   Confirm Kavanaugh Now               
66351	0	@USER The hate really takes a toll on these people physically. Most of these unhinged liberals do not look well. 24/7 fake news Armageddon coverage is sucking the life out of these people. I feel bad for them....
49160	0	@USER  Clapping Hands 🏻 good job (sarcasm). Also great they have gun control laws it is saving lives! (More sarcasm).
87021	0	@USER @USER I am waiting for the liberals to squeal that those sandwiches could feed poor families
11127	0	@USER @USER Omg no. You have no idea wtf you are saying. It is like a pink sheet stock that keeps reverse splitting. Will eventually be worthless to everyone. But hey may keep dreaming. We all need dreams.
48951	0	@USER @USER @USER @USER is anti-gop. He is part of the “Trump Party” and he is hoping for a pardon for ripping off hard working Americans.
89384	1	@USER @USER I SHITTED/SHAT YTD AND LOST 0.6KG  Canada N U BELIEVE IT
26435	0	@USER @USER @USER I teach my grown sons theres winners and losers...see Serena temper tantrums she is a Democrat...lol
74932	1	WWII always on that fuck shit i'm finna go play fortnite like a dweeb
61744	1	@USER @USER @USER And people still think this administration is the greatest since sliced bread. Ridiculous.
71246	0	@USER Why not begin the movement by giving away some of the farms and mine claims you and your connections took while you were still relevant. That way; we can show your concern for us. From where I am standing; you are just another bitter polutician. Charity begins at home baba.
