id	subtask_c	tweet
90194	0	@USER Go home  you are  drunk!!! @USER #MAGA  trump 2020  Oncoming Fist Flag: United States Oncoming Fist URL
97670	2	@USER Liberals are all Kookoo !!!
52415	1	@USER was literally just talking about this  Laugh Out Loud  all mass shootings like that have been set ups.  it is  propaganda used to divide us on major issues like gun control and terrorism
13384	0	@USER Canada  does not  need another  a political neologism and term of abuse:white nationalists to insult Republican politicians who are too mainstream! We already have enough #LooneyLeft #Liberals  fuck up our great country! #Qproofs  trudeau must go 
28414	0	@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!!  deep state corruption  URL
28195	2	@USER gun control! That is all these kids are asking for!
56117	0	@USER  laughing out loud !!! Throwing the BULLSHIT Flag on such nonsense!!  put up or shut up  #Kavanaugh #MAGA  Call The Vote Already  URL
12681	1	@USER Kind of like when conservatives  want to  associate everyone to their left as communist antifa members?
82904	1	@USER Da fuck is going on people?  There is  the  men is  room and the  woman is  room Pick one and  stick with it  Thinking Face
77665	0	@USER to be honest these days i just  do not  like people in general i just  do not  connect with people these days just a annoyance..
12609	1	The only thing the Democrats have is lying and stalling to stop Trump from being #President. What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK
12108	0	@USER You are not  very smart are you? Why do you think Gen Flynn's sentencing keeps being rescheduled? URL
14726	1	@USER  That is  expected if you placate the violent leftists/terrorists.  Kavanaugh Confirmation  #woke
84102	1	4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???
98992	0	@USER Fuck off
33853	2	@USER The prison system is  so fucked. Why are they still getting away with  what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing
75215	0	@USER She is useless. Attempts to do the right thing but never follows through.
57013	0	@USER Grateful Trump  does not  have a dog in the White House. He is a cruel man.
74831	0	@USER Trump kicks dem butt - it is  so fun.
53264	0	@USER He is dumb and dumber all in one president.  It is  a two for one.
84664	0	@USER And this from the clown that should be in prison?
48995	0	@USER Thats because you are an old man.
47153	2	@USER They are obstructionists. Anti-american. Pharisees. Ask them  what they are running on and you get nothing. Maga!
64429	1	@USER I mean it worked for gun control right? URL
45068	0	@USER She is drinking  so much koolaid s he is  bloated.
84667	0	@USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!
93119	0	WTC This is a threat!!! .. @USER #Maga #QAnon  Wake Up America  URL
