id	subtask_c	tweet
72660	0	@USER You missed seeing Pruitt chewing butt all the way to the end.  He is  all business. I love it
10974	0	@USER Oh no!! That sucks Loudly Crying Face  what if you are “sick” Face Vomiting Nauseated Face
85262	1	@USER Serial rape  did not  seem to be a problem for liberals with Bill Clinton and Hillary who enabled him? Go figure - can you say hypocrisy?
89187	1	@USER No. I mean parasite in the sense of private companies being an unnecessary and universally-unwanted bauble imposed on an essential public service by people who put profits before public opinion and democracy.
14486	0	@USER You are a fool. Denying ones free speech is deny all of our free speech.
95077	1	@USER Dear Fatties Against Fascism...  Walk Away  from the Democrats.... Antifa = Democrats = Dixiecrats =  Ku Klux Klan  There are  no fascists in America. Same hate. Different colored hoods. Party of hate since 1828 URL
81273	0	@USER Good.  He is  a mess
65440	0	@USER Does nicki even know who she is??? Dreamdoll a whole bully
52625	0	@USER you are a hypocritical hack. URL
40752	1	@USER Index Pointing Up this is  why Conservatives and law abiding citizens  do not  come to the table about gun control. It not about lunatics like this guy that should  no longer own weapons. It isabout removing all guns slowly but surely from everyone regardless of who they are. URL
64652	0	@USER Holy shit which sears?
17391	1	@USER The Liberals are mentally unstable!!
80706	0	@USER You ignored my question, which is crucial to the argument. Once sensible   gun control is imposed and another shooting occurs, do you truly believe they will not push for further restrictions?
15954	0	@USER You are neither authority nor arbiter. Have a seat.
28949	0	@USER Why is this crook walking free?
74815	0	@USER Like if you  did not  get fired from  Entertainment Sports Programming Network 
78174	0	@USER You are such a fraud &amp; doing the fight against anti-Semitism an extreme disservice.
71283	0	A little appreciation post for my bestie because s he is  a bad bitch and  I am  thankful for her Growing Heart @USER URL
78924	0	@USER Oh  no is he going to start painting hideous pictures like @USER and peddle socialism and gun control for everyone but himself. @USER
16142	0	@USER Your bizarre spin attempts fail because  no one trusts one sided zealots anymore. The spell is broken. WE THE PEOPLE do not need people like you and your sick idea. Cater to the loony left like your modern brown shirts antifa. Leave normal people alone
87655	0	UPDATE Chuck Schumer's Steamy Affair With A High School Cheerleader Conf... URL via @USER We also meone said it  so it must be true! ChickSchumer should Resign #Kavenaugh  Thursday Thoughts  #FridayFeeling #DemDirtyTrick #MAGA #Resist Federal Bureau of Investigation should Investigate
20801	1	@USER So? what is  wrong with white guys?.. I am  a PROUD Caucasian &amp;Colombian American woman and I happen to like ALL these WHITE men that represent me..especiallySen.Kennedy...We are  so done with identity politics from liberals.
43150	0	@USER He too is afraid his backstabbing deeds will be discovered and made public undermining the entire farce of the Obama administration
81470	0	#maga #christineford #trump2020 #tcot #ccot #AmericaFirst #Patriots @USER #BrettKavanaugh had this to say about Bill Clinton during Whitewater:  It is  imperative to make his pattern of revolting behavior clear -- piece by painful piece.   Indeed. URL
49843	1	@USER  I am  hoping  it is  a joke. #antifa are morons and have  no clue how many people carry backup guns. Their #disarmthem stunt will make them a lethal threat in most states. Do the math on  what will happen. Silly #antifagoons
21379	0	@USER Please call trump out for  what he is...a NARCI Schutzstaffel ISTIC SOCIOPATH!
43884	2	@USER yo  why  won not  you let me post a link fam... does it offend you? You little salty spittoon... you literally allow porn such as @USER but you  do not  allow feder also it... #censorship  Confirm Kavanaugh  #ConfirmKavenaugh #maga URL
86688	2	@USER #Brilliant bigotry..
84055	1	@USER Wow those liberals are  so uncivil and full of hate. #LickAWitch URL
69898	0	@USER Am Eye See Kay He Why Am Oh You Ass He
95092	2	ANTIFA is a domestic terrorist organization that leeches off of George Soros's money. They are a domestic terrorist organization that uses intimidation &amp; violence to spread their ideology.
40489	1	@USER Nah Antifa are  good to get killed
49204	0	@USER AARON RODGERS WILL NEVER WIN A RING THE REST OF HIS SAD A Schutzstaffel  CAREER! I HOPE YOU HIS REGULAR SEASON HEROICS CAUSE THATS ALL HE IS GOOD FOR! HAVE A NICE DAY!
54858	0	@USER He is  what the industry stands for. All about spreadsheets and  no care for the human side.
52776	0	@USER Fake Queen!
29814	2	@USER Northern Ireland was explicitly designed  so the British establishment could stop paying attention to Ireland.  they have  been indifferent since 1921.
64322	2	@USER Just Chicago  so they can stop the gun violence. Seems that is  what democrats claim wi also op it. Show us in one of the worst gun violence cities controlled by democrats  so the nations wi also e how that works. Make it a model of successful gun control policies.
14118	0	@USER So she  can not  be effected by the radiation but killed. I hope he mentions Lady Gaga witch. Since she is the only known immortal witch and supreme
31240	0	@USER Judge Roy Moore will masterbate to this story. #MAGA
23116	1	@USER Gun control  is not  about public safety... it is  about hating 'rednecks' and social engineering.
75791	0	@USER Now to get inner cities, i.e.#Chicago, to have policies that promote job growth there  so that the #nuclearfamily returns. The lack of one is  why @USER have the daily killings, NOT a gun control   issue. #twill
60523	0	@USER  is not  that just a nerd
41414	0	. @USER &amp; @USER student loan refinancing plan would give e very single student loan borrower a tax break &amp; let hundreds of thousands of borrowers have immediate lower interests rates at 0 net cost to taxpayers. @USER has 8 years. He did nothing. He is a liar. URL
76303	0	. @USER You are deplorable despicable disgusting! URL
81124	1	@USER thats  why they lobbied the government to ban reaserch funded bye the cdc that could be used to argue for gun control. guns in the home do not make you safer. quite the opposite.
