id	subtask_a	tweet
56523	1	@USER @USER wow Jr. you are not very bright are you. URL
40206	0	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER URL That is a guy. Guy looks like a Sheila! #QANON #MAGA #GREATAWAKENING URL
47309	0	@USER @USER @USER @USER I do not believe in hardening schools. I believe in common sense gun control.
54158	0	@USER @USER a nice cartoon.
29354	1	@USER Religious persecution is bad...  ...when it's your religion being persecuted. URL
28679	1	@USER Shameful.  #NRA is spending over a million  dollar  to get Kavanaugh installed.  Gun control isn't his pot of Tea. URL
76381	1	@USER @USER @USER @USER Shitting yourself more like.
57395	0	4 UK/US DEEPSTATE NUKES INTERCEPTED HEADING FOR US CITIES. #skynews #skypapers #bbcdp #lbc #lbclive #talkradio @USER @USER #altnews #brexit #remain #london #cityoflondon #news #breakingnews #uknews #labour #tories #trump #toryparty #ukip #conservatives #christians #qanon URL
30698	0	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Thank you for allowing me aboard!  Proudly following all #MAGA #KAG Patriots 🇺🇸
26199	1	   @USER What is my fucking problem? Really?      —Jason denys a couple of times. He does not want to behave like an idiot / not again / but he is worried about her.      Where is Dick or Bruce? Are not they with you in this?           
39133	0	@USER You think for your informatin. You are right.
94548	0	@USER @USER Why are both eyes open if your aiming?? Face With Tears of Joy  Face With Tears of Joy  Flushed Face  And you liberals want a war with conservatives  Face With Tears of Joy . Best of luck snowflake Thumbs Up 🏼
44986	0	@USER You are kind and attentive. Thank you  Folded Hands 🏾Peace to you @USER
37203	0	@USER @USER Same Kamau Bell who spoke to ANTIFA and helped incite them to riot a year ago?
39441	1	@USER Who TF this white devil Jersey shore bitch?
55748	0	@USER Credibly Accused is a Antifa mob dog whistle. We heard and we are cocked and loaded.
97232	1	@USER She is a courageous intelligent woman who knows the crap that people will say - she is standing up to some evil and powerful and ruthless men who will stop at nothing to destroy her and her testimony
73789	0	@USER Why would DPD ride with this chic. I know code of blue. She is more trouble than good.
51635	0	@USER @USER Funny watching these liberals all of a sudden do a 180 on being transparent.  Warner had no problems with leaks.  Now when the truth is out he has issues.    Its over.  Some people are in big trouble.  Warner is likely one of them.
18315	1	@USER get your shit together
70706	0	   @USER  Aurora is growing and learning stuff quickly! She is really good at drawing and counting! Such a intelligent baby ~       He laughts playfully at kiss being breaked. Pecks his nose.       
45204	0	@USER Well didn't James Comey lie? Or does it only count of you are not FBI? I thought under oath was under oath. Maybe I am wrong.
24444	0	@USER @USER @USER You are not going to get it. Grow up.
71372	0	@USER @USER @USER The left are the ones spending all our money. It wasn't the right that gave us 325 billion in debt that was the left. Remember when the liberals screamed to high heavens when Harris taklked about privitizing Hydro one? The liberals did it.
47484	0	@USER @USER @USER Didn't see him matching with antifa tbh
88561	0	   @USER @USER She is right, she is not one of,     she is     the one and only.           
81013	0	@USER You are going to become of KOD just like the famous @USER
55816	1	@USER @USER @USER Omg what country were you in?? It wasn't America. But again you liberals will believe ANYTHING
98370	0	   @USER @USER Chequers delivers Brexit (changes the relationship with the EU). It does not deliver leave the European Union     (referendum question.) I think we should stop using the word Brexit to mean leave, and actually say     leave the EU    .     Brexit     meaning willfully mutated by remainers.       
26203	1	@USER It is  Loudly Crying Face  you get to see a good game and niggas working  Person Shrugging 🏻‍♀️
31566	1	URL WHY isn't Peter Strzok and Lisa Page in jail? They are traitors to the United States and it's people! The US does not have a two-tiered system for lawbreakers. #LockThemAllUp  #DeepState  #DrainTheSwamp  #MAGA #WalkAway  #impeachjeffsessions  #DOJ ???
49519	1	@USER @USER Funny because he is a dildo!
87449	0	@USER Finally. God bless them. We need more of this advocacy
77742	0	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Listen people Queen is right. This is not a game this is war 👆👆👆👆👆 Collision  Collision  Pouting Face  Pouting Face  Pouting Face  Pouting Face  URL
24621	1	@USER you are some basic white girl who clearly did not know any of them personally and it is awful what has happened to Mac so why do not you pay respect to that instead of being disgusting and blaming another innocent human in something that has nothing to do with them.
14263	1	@USER @USER Guess who is really perpetuating all this garbage??  LIBERALS
94926	0	@USER Friend ordered 100 pair of Levi's and then called to cancel! Over Gun control! Wow getting wild!
25160	0	@USER NBC just dose not get it!  It has nothing to do with the day of the week or football. It has everything to do with the liberals looking down their noses at the American people. Their sanctimonious political remarks  - laughing at those who do not think like them.
84425	0	@USER @USER What if she is saying lies? Were you present?
45789	0	@USER Why didn't gun control stop illegals from obtaining firearms?
17926	0	@USER Are you going to become an antifa fighter now
65966	0	@USER @USER My President I elected loves American citizens. You liberals have shown your true colors. You are ant- American with horrible morals and lawless behavior. You cant relitigate the 2016 election. He will be re elected too. Get used to it!
98952	0	@USER @USER Nearly made me contribute to Antifa and join Facebook. Nearly.
20592	0	   @USER @USER Just imagine the divorce case if she had not murdered him.  Your honor, I would like to introduce into evidence the book wherein she details how she is planning to kill me ...           
81121	0	@USER @USER @USERwhat is your issue with antifa?
85171	0	@USER @USER Love you Norm!
87365	0	@USER @USER @USER I know. Why should they? #EnglishConservatism
17969	0	#Conservatives left #frustrated as #Congress passes big spending bills...  #tcot URL
87367	0	@USER This describes Bill Clinton perfectly. And yet? crickets from liberals. #ClintonCrimeFamily
78079	0	@USER @USER I hope you do not make it!
87311	0	@USER Get another disgrace.
35695	0	@USER It only hangs in the balance because of liberals and news agencies that used the airwaves to push their politics..... Like CNN.
14636	0	@USER You are runnning on the word of something you did not see
55574	1	@USER I know sex sales and we all know Ridge was going to choose his daughter jmo I wanted Hope to get it
37068	1	@USER He is that stupid!
36697	1	@USER One could say that she is the one coward. She could probably end this charade but continues to sabotage our country with her silence. Plus she is a sad over facelifted former soft porn model.
59603	1	@USER Your looking more like a plant #maga #walkaway URL
70659	1	@USER Eight years the republicans denied obama's picks. Breitbarters outrage is as phony as their fake president.
84131	0	@USER Do you think Canadian liberals will actually blame Trudeau if he costs them this? Or as per standard push it off on us?
95650	0	@USER I can't drink. URL
30593	1	@USER @USER Could anyone expect anything less from a fool like j rubin? Incompetent hair on fire libs cost people their lives and blame it Pres. Trump.
80731	0	@USER Not saying much to claim you are smarter than @USER
84915	0	@USER @USER nope that would be you
31162	0	   @USER @USER Telling Liberals, Trump is your President    .       
89521	0	@USER I am not an anime fan by any means but I do like her. She is a cutie
43686	0	@USER @USER @USER I was just going through my TL and I saw this. There are no words she is such a sweetheart this is so horribly sad. May her family find the strength.
96009	1	@USER @USER MEGUMI IM SORRY I ASKED TO SEE YOUR TITS
27746	0	@USER @USER @USER I hope @USER Ask @USER about the deep state and swamp creatures undermining president's Agendas and latest @USER video
44840	0	@USER Clearly that man must have been blind.  But thanks for being not only a beautiful woman on the outside but being a kick ass one on the inside as well.  I know there are many woman applauding your post along with me.
88809	0	@USER @USER @USER Here's the problem...if you go back to Fast and Furious you have proof that the ATF was looking to influence gun control in the US. It may be preposterous that the government would fake Sandy Hook isn't facilitating a drug war somewhat similar?
82580	0	@USER @USER @USER They need to only ever see the sky from the safety of a HMP exercise yard
75499	0	@USER Thank you very much. She is a great performer Tottori prefectural residents take proud in.
26773	1	@USER He can suck it.
98649	0	@USER She is better than everyone at everything because she is a literal angel who can do no wrong
35251	0	@USER I will bet she is a liberal democrat.
30245	1	@USER If only Martin were as obsessed about Christ as he is with homosexuality.
94623	1	@USER @USER Kind of why we need NATION-WIDE GUN CONTROL. Are you really that stupid?
66191	0	@USER @USER Crazy Frog is antifa that's canon
96139	1	@USER You are TRIPPIN. Stop jumping to conclusions.
41848	0	@USER Thanks she is sweet. Very very timid skiddish scared of every sound so this hurricane isn't helping her adjust BUT today she started being playful Smiling Face With Smiling Eyes 
69682	1	@USER She is a Republican hypocrite!
86943	0	@USER Good for business.
47728	0	@USER The tide is changing....the Dems on Defense &amp; the #MSM are at a lost! They know what is coming very soon! NO ONE GETS A PASS...#QANON #TrustThePlan #WWG1WGA  OK 🏼 Red Heart ️🇺🇸🦅Love our @USER 45 #MAGA #KAG #KavanaughForSCOTUS will be a reality! God Bless!
31243	0	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER shana tova my #Antifa warrior friends. 24-7-365  ::  'LIVE' Jerusalem WEBCAM --- TEMPLE MOUNT URL
94169	1	@USER @USER SHE IS A FUCKING MESS!! I HATE HER SO MUCH
46898	0	@USER @USER There is no reason. The bravest people politically in our society are black conservative. They are seeing the cities that have the worst quality of life for black Americans have generationally been ran by liberals with promises but no improvements.
12791	1	@USER A resounding NO! 🇺🇸 #MAGA
79215	0	@USER She already proved she hasn't a clue about things she is legislating so really have no interest in her comments or opinion.
87193	1	@USER Hell fuckin yea
92761	0	   (Part 3)  Hey, Potato.      //Yeah?      How is our inkling girl sidekick so OP?      //...Good question.      She really is strange, isn't she?      //Yeah; but she IS our sidekick.       
78007	0	@USER you are here!
79620	0	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Man...can't believe we've lost these 2 as of recently. 2 most Iconic actors of the 70s. URL
34422	1	@USER Conservatives keep telling us how a few million immigrants are ruining the economy. How would multiplying those numbers several times help that?
24145	0	@USER And no one in their infinite wisdom couldn't predict this? Please!
98986	0	@USER F him. I would rather watch a Cooking channel! I would have More respect if he led them into Black Genocide Chicago where it would Really Matter. Such left Bulls## Blk millionaires who did not even come out of their Pools this Summer for Blk Genocide
71432	0	   @USER @USER @USER Nothere isno equivalence. It is not both sides.     Conservatives' contrived controversies, division and refusal to acknowledge basic facts will be our biggest obstacles for the foreseeable future.       
66082	1	@USER If you move ahead with Kavanaugh's nominatin without more information you are committing an ethical and legal violation.U violated the constitution with Merrick Garland &amp; now this horrible candidate who says precedent can be overturned. Wait for more info &amp; be sure
28864	0	@USER @USER I hope so; conservatives must go vote.
73784	1	@USER They could literally give two fucks af  Face With Tears of Joy  like ummm okay thanks  Face With Tears of Joy 
49942	1	@USER BS.  People died in PR because the local government is corrupt.
25180	1	   @USER  Regarding the story I think I'm going to kill the president    , why is it reporters     never     follow up on how a convicted felon could obtain, in this case, 6 guns? What's the police doing about, or would that bring light to the gun control issue? Bias?       
68683	0	@USER @USER Do not hold your breath. Biased media will just double down on conservatives. The public is slowly catching on.
87004	0	#Tories #Labour #GE2017 #Conservatives Conservatives URL sajidjavid: Productive discussions with new Pakistan foreign and interior ministers in Islamabad today. Agreed to improve cooperation on anti-corruption &amp; counter-terrorism - v… URL
60916	0	@USER Fast and Furious Holder lol
83744	0	@USER @USER I suggest that @USER get a real life.
35931	0	1 it doesn't matter how ANYONE feels 2 anyone can talk about something. there are no segregated conversations. unless you are a regressive. URL
90467	1	@USER For lying? How much is the DNC/Soros/Antifa paying her? How's your Chinese spy doing?
88010	0	@USER @USER And #Congress should be looking into #keithellison allegations regarding abuse as well! #StopTheBias #WalkAwayDemocrats2018 #RedWave2018 #MAGA URL
79182	0	@USER YOU ARE SO CORRECT JIN IS A WHOLE CRACKHEAD
87412	0	   @USER Rosie hugs him tight Hello Angy.     She smiled happy     Im so happy that she is back and I bet you Levi will be here in a few seconds.     Levi walks in and gasps     ROSIE!     Levi ran over making Jack smile       
23197	0	@USER @USER confession. i was pregnant with your child after our second makeout. he is 7 years old tomorrow.
12477	0	YES! @USER Where We Go One We Go All  Flexed Biceps: Light Skin Tone   Flexed Biceps: Light Skin Tone  Flexed Biceps: Light Skin Tone  #WWG1WGA #TheGreatAwakening #MAGA #GodBlessAmerica #GodBlessHumanity
46893	0	@USER Gun control does not work
27260	0	@USER @USER @USER Antifa?  Lol. Really stretching there. Hee hee. He is going down for obstruction of justice too.
83860	0	@USER She is perfect
66620	0	@USER @USER @USER @USER My wife is from the USA. All my inlaws are thrilled with Trump and the conservatives winning the PC war.
81844	0	@USER @USER @USER Portugal fluked their way through 2 penalty shoot outs and CR did not play the final
51592	1	@USER John Podesta is a spirit cooking pedo. Here's a photo of him and Valerie Jarrett in a rather compromising situation.  #MAGA #qanon #DrainTheDeepState #DrainTheSwamp URL
55041	0	@USER is shaking while answering question clearly she is no comfortable #onpoli
66799	0	@USER Fake polls.
94132	1	@USER Shows the world just how useless and ineffective you are.. You little whiny brat.. Why not go cry in the corner withwhat is his nuts??? Oh yeah... Acosta
92714	0	@USER Because she is
92731	0	@USER Liberals are kind bad slow at this or they just stalling.
93598	0	@USER Another country with strict gun control.  For some reason gun control never helps the average citizen but dictators and terrorists sure support it.
41937	0	@USER I was kind of shocked. He is gone now. From my feed at least
17949	0	@USER @USER 4 he is poor
97210	1	@USER @USER @USER People who employ fascist tactics are fascists. That is what ANTIFA does. Do you want me to start posting videos of ANTIFA riots?
84329	0	@USER @USER There was plenty of evidence that he was guilty of what Hill accused him of but since conf hearings are not about guilty/innocence got on the bench. Times are diff now. Why as a journalist you do not call out white supremacy/alt-right but Antifa and pick on @USER
47833	0	@USER She needs to make as much money as she can while the liberals are all duped.
48601	0	@USER did you see the response i typed  Face Blowing a Kiss  you are too much fun sometimes
13392	0	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Idk some Antifa nut job
67819	0	@USER @USER I like Alex Bowman but he is not a rookie
13971	0	@USER Heard Jeff Hardy thought that the Stoneman Douglas victims were right and that gun control should be improved in the USA which pissed off Randy
19380	0	   @USER @USER It is not a crisis     . The Conservatives think everything is a crisis- the asylum seekers,  the economy, TMX  now NAFTA. Just relax guys the adults are in the room.       
78431	1	@USER @USER @USER @USER @USER Obama never laments for those that are killed in Chicago every week. Chicago his old stomping ground.  Ask him how those draconian gun control laws are working there? And watch him blame Indiana.
64920	0	@USER @USER I couldn't agree more. And the unions attacking her are politicizing it far more than she is by turning it into a press release. I wrote about this last year. URL
78792	0	   @USER @USER @USER @USER and no one is attacking Trump supporters at large      Ever heard of Antifa?  I thought you were leaving long ago anyway?  Why are you still wasting my time?       
94698	0	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Why are we engaging a brit antifa again? I lost track.
66902	0	@USER @USER What happened to your last guess Kevin Hassert?  Huntsman has already denied it. So you are calling him a liar.
80349	1	@USER So fuckinggg cute  Smiling Face With Heart-Eyes 
96943	0	@USER @USER @USER @USER @USER @USER so stronger gun control is better than leaving guns easy to access. Gun control isn't a gun ban  Skull
95018	0	@USER He will never live this down! You know he is furious! Can U imagine what world leaders will be thinking when they meet him Double Exclamation Mark  Face Screaming in Fear 
94286	1	@USER Girl bitches aggravate me!
35022	1	#GOP on personal responsibility...  He was drunk: boys will be boys  She was drunk: slut  #republicans #conservatives #kavanaugh
87376	0	@USER He is 100% and ballin'
92615	0	@USER You are welcome! Yo! @USER and I were holding up a casual tournament watching you. Good shit!
80034	1	@USER It is a testament to how fucked this world is...that she is free to spout all this bullshit and not be in jail or even being investigated for statutory rape.
64330	1	@USER He is a moron
21232	0	@USER @USER Unfortunately that it the liberals agenda
24330	0	@USER Childess
20579	0	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Antifa would put nails in the pillows so I dont recommend it
45805	0	@USER And ... what?
37483	0	@USER Are you and your family okay? Not sure how close you are to everything.
51584	1	@USER @USER @USER @USER There are no timely responses in rap beef LMAOOOOOO Nas took THREE MONTHS to respond to Jay and he bodied him. Em always takes a month or more. Where did y'all get this timely response shit?
15290	0	@USER @USER Them dreads be dry asfuck my dude
49336	0	   @USER @USER @USER Freedom From National Debt     is also very good and written by former Deputy Secretary of the Treasury Frank N. Newman. Also great cuz he is not an MMT academic but basically confirms MMT from a non-MMT insider's perspective       
64950	0	@USER Yes she is...
89389	0	   @USER @USER If you do not think everybody wants to be rich, sadly you are lying to yourself. Pretending otherwise is simply an excuse to settle. Nothing wrong with settling, but to dismiss those who want more for themselves as greedy     is disingenuous.       
46732	0	@USER i love your voice. how do you get it to sound so sexy and strong? #BarbieDreamsVIDEO
84294	1	@USER I think she is the one mad.  She didnt like being called out so she is trying to make them bully me.  Grinning Squinting Face 
12038	0	@USER @USER I do not think he is guilty....this is what you leftwingers do...make up sexual assault claims about conservatives.
91592	0	.@USER It is sad and scary that the French so-called justice system is ordering @USER Le Pen to undergo psych eval because she dared to reveal the horrors of DAESH/ISIS. The true crazies are radical Muslims and liberals who protect them.
12295	1	@USER @USER shut that wanker up
81364	0	#DickDurbin is from Illinois. #Chicago has the strictest gun control and is a gang and drug killing field.
86554	1	@USER Playing dirty is the only way liberals can win at this point.  They are shameless.
78599	0	@USER @USER I hope you realize that you are loved. #LetSomebodyLoveYou #Life @USER
50971	0	   @USER @USER in other words, im not speaking on your behalf, i just can't sit idly by while people make an ass out of themselves because i feel like people can be better than that.       
79060	0	@USER You are bringing up honor and decency? With that yoyo in the picture? That is rich.
40568	0	@USER @USER Climate Change is a trigger word for the tin can liberals ..
68921	0	@USER He wants in the White House! URL
83715	0	@USER Jonah hill ratted your sorry ass out wdym
46270	0	@USER @USER The fake and bake twins!
69798	0	@USER Better not bring to much attention to this guy. The Democrats might try to get him to run for office.
26229	1	@USER Where were these morons when the Groper Trudeau and his lying Liberals stomped all over our Charter with their Values Test? Where was Holt Renfrew's favourite shopper Horwath? Premier Ford is trying to save taxpayers money! Maybe that is what bugs Horwath??
86353	0	@USER @USER @USER It is interesting that you are more aware of the political system than @USER
44884	1	6 people are dead after shooting spree in California @USER URL                     @USER so those thoughts &amp; prayers are working good for gun control
45057	0	@USER He is still one of my favorites URL
82366	1	@USER Hubby rushed me  Asterisk shakes fist Asterisk  will flick a pic thru this evening when I feed em again. By the way he is still the boss
26179	0	@USER @USER @USER @USER You knowmandni know you are on the verge from my education satochi data
81403	0	@USER It is still here at 753. If someone did this to her or her family she'd be enraged. She is what @USER has let loose.
66351	1	@USER The hate really takes a toll on these people physically. Most of these unhinged liberals do not look well. 24/7 fake news Armageddon coverage is sucking the life out of these people. I feel bad for them....
90803	0	@USER @USER @USER She can probably suck the chrome off a trailer hitch though... URL
78895	0	@USER @USER Several of the western liberals are not too happy with national focus of Saudi.
37901	0	@USER Perhaps he is going to talk about pedestal and all the collusion by the HRC campaign!! After all this investigation is not only to be about Prasident Trump.  Plenty of illegal activity by the dnc and Clinton campaign!
91851	0	@USER  Face With Tears of Joy  Face With Tears of Joy  Face With Tears of Joy  that he is
31562	1	@USER Everyone who is against this is called a „Nazi“ by Antifa scum and politicians.
17635	0	@USER Thank Antifa for their special brand of authoritarianism  Just look at Sargon of Akkad
12670	1	@USER @USER You are a liar Ed. You have always been a liar. The people in Puerto Rico lives in squalor. Govt officials hid supplies sent. Miss reported death toll due to hurricane. Stop lying!
99986	1	@USER Ya know how many ppl have pot in their homes?! So fukn what? The cops are trying to get their buddy off! She is a murderer!
45521	1	@USER @USER Liberals have no shame. To them the outcome justifies the mean
36081	0	@USER @USER @USER @USER @USER @USER @USER @USER Cheers matey 🥂🥂
53264	1	@USER @USER @USER He is dumb and dumber all in one president.  It is a two for one.
53774	0	@USER do u have yuzusft face mod? i want it but i cant dl :o
79318	0	@USER What about the other to girls was that sinnfeinn fault as well oh right it's only the ex hard line republic you are interested in she is the only victim because she would do aunt thing to bad mouth sinnfeinn shame on you
31019	1	@USER @USER @USER Fuck you...  If she dare then why didn't she choose any other granth ..haha .. m sure she is looking for some publicity.. Bible or kuran . Whatever her intention was but she done a drama . May be she want to start any business that requires public intention.
91308	0	@USER He'll no!!!! It is all about creating New Democratic Voters!!
99364	0	@USER @USER Best female  tennis player ever? Arguably. Great player. She is starting to age and become less unbeatable.
67167	1	@USER Crazy liberals
85261	0	   @USER @USER @USER @USER @USER Sad that you are trying to pawn off another rich Right-Wing type in an age of increasing wealth disparity. A price gouging pharma executive at that. After Trump tried to gut healthcare with no real replace in that repeal &amp; replace    . It is a slap in the face.       
71212	1	@USER On no not roaming charges! Good charge all these foreign fuckers when they come here!
57722	0	@USER @USER She is asking questions there are no answers for.
64933	1	   @USER @USER  Do not let your bretheren     fool you!  EACH ONE OF YOUR Republicans, NEED TO DECIDE IF YOU ARE GOING TO BE GOOD PEOPLE or #rePUNKlicans!  You NEED TO KNOW, that kavanaugh is going to make #ronaldgrump into the first dictator of #naziUSA, which cannot happen! URL   
74066	1	@USER  Asterisk REPLACES CHICKENS WITH GUN CONTROL Asterisk  URL
63221	0	Women were treated as 2nd class citizens for thousands of years. We are supposed to be an enlightened society.There isNO reason women should not be treated as equals now. Sexual assault is a crime! FBI needs to investigate #Kavanaugh! @USER #MAGA #MakeAmericaGreatAgain
22694	1	@USER Perfect example of a country with gun control. I bet those guys were happy the criminals did not have guns.
56187	0	   @USER The pot calling the kettle black. Most disisive &amp; dirty political party right now is the one you are running for You use the words more perfect union     yet your party shows its bigotry &amp; hatred towards conservatives, republicans, &amp; all who have a different opinion #maga @USER   
48717	0	@USER Remember. People who make up stories do not ask the FBI to investigate those stories. #KAG #MAGA #KavanaughAccuser
19419	0	@USER They do not want you following people because they do not like conservatives! Sickening  how biased Twitter's management is. #TwitterLeftBias
59400	1	#meneither! She is a liar. Clear as day a liar. URL
35566	1	@USER Holder was the most ethically challenged AG ever. A total disgrace to the office.
52835	1	@USER Yoo our dogs should totally fuck
16162	1	@USER If you want to #MAGA:  1. Stop Intellectual Property theft by China. 2. Pivot away from China and give business to other Asia countries. 3. Ask US business to move to other countries 4. Tax reciprocally 5. Make Xi look weak!  Demolish South China Sea. Xi is a crook!  @USER
94371	0	#WillieNelson laughs at conservatives on The View for suddenly being outraged by his support of Democrats URL
84905	1	@USER He needs to Either Pick Politics or Singing ....... Either way He Stinks at Both!
81168	0	...Congratulations. You are truly the greatest speedster the world has ever known.
74845	0	@USER I'm responding with a fact. You are totally unfamiliar with how Harper government incentives and it's laughable that you're saying that. You know what you can have your check mate. I give it to you.
87582	0	@USER You are so good at drawing
18975	0	@USER The Pyro from tf2? :0c
10253	0	@USER @USER you are awesome! Thank you. You give humanity hope!
43081	1	@USER @USER @USER @USER @USER Ummm theres video of it and the coach literally admitted to it lmao. Maybe read before having strong shitty opinions
42456	1	@USER Dam white slave owners
32560	0	   @USER Why didn't @USER tell us this about the Cincinatti murder at Fifth Third Bank?  He said the firearm was apparently legally purchased.      Is it harder to clamor for more failed gun control?  #2A URL   
10712	0	@USER @USER He is revolting.
89450	0	@USER @USER @USER @USER What law will you pass that will get people who ignore all other laws to obey?  A murderer ignores a ton of laws but somehow he will obey gun control laws?
97831	1	@USER Look at all these racist white liberals freaking out because I said Tom Arnold has white privileged.
68320	1	   @USER @USER You say you're part of the resistance so I'm fairly certain you are pro-gun control. My question to you is...Why would you want a government headed by this so called dictator     to enact stricter gun control? I do not think that's an argument that'll get you very far.       
49166	0	@USER Thank you President Trump! MAGA! 🇺🇸 Red Heart ️🇺🇸 Red Heart ️🇺🇸 Red Heart ️🇺🇸 Red Heart ️🇺🇸 Red Heart ️
43641	1	   23:70 Or do they say, He is possessed    ? Nay, he has brought them the Truth, but most of them hate the Truth.       
58387	0	@USER We apologize for the delay in response here and wanted to follow up and see if you are still experiencing issues. Our engineers are in the final stages of mitigating impact related to the event. ^MA
73297	0	...when Liberals/Democrats punish &amp; slander people for simply being honest and truthful? That is when you know its time to #WalkAway and vote Republican. URL
43949	1	   .@USER rates @USER claim that the SAFE Act is the nation's toughest gun control law mostly false.     URL   
65621	0	@USER @USER @USER Your hatred is so deep that you construct the truth on how you want to see it. Trump continually insist on saving Social Security and it was Obama who bow down to every country and apologize for America. What's wrong with you are you that anti-American because of trump wow
90163	0	@USER And how much is he being paid for this behavior?
