id	subtask_a	tweet
79577	1	@USER @USER do you know what flanking and muscle flashing is with an AR15?; educate yourself and close that c•€k hol~+€r...you don't know why u r talking about😡😡😡😡
57627	0	@USER Yes he is and it's giving a Good View
77822	0	@USER You said that already. Are you already broken? Where do I go to return you so I can get a new generic retarded Antifa supporter to laugh at?
30643	0	@USER @USER Now you understand why conservatives fear expressing their true beliefs. If you don’t buy into the dominant liberal narrative about social issues you become persona non grata. Ask James Damore.
42634	1	@USER And the factory’s coming back U do n a movie on that... sum worth do n.. cause just sling shit shows No intelligence..
92939	0	@USER He's as ignorant as it gets
15236	0	#illegalaliens don't get #Constitutional rights URL #tcot #AmericaFirst #SanctuaryCities #Conservatives #law #Lawyers #thewall #Trumpwall #Wall
93077	0	@USER @USER You do know gun control doesn’t mean the public shouldn’t have guns it means stricter gun regulations and making the process of acquiring guns harder than it is now you can go to a gun store and get a gun and leave in 22 minuets you can go to a gun show and get one faster
83301	0	@USER As we say here in the South “ bless her heart”!
34570	0	@USER @USER This coming from the Soros militia. Aren’t you the intellectual mind behind ANTIFA?
33734	1	@USER I really hope you don’t block me until after next Monday. I want to see this page’s reaction when Kavanaugh gets confirmed to the Supreme Court. That gun control is effectively dead.
40767	0	@USER #Police are priority for funding! @USER @USER @USER Our country is overrun with crime. Degrees of lawlessness in #UnitedKingdom
51085	1	@USER Yeah . Niggas who dey wear durag nor dey joke. Hard as fuck
86499	1	@USER watch me catching a plane to hungary only to beat your ass
54792	0	@USER @USER Good one..But he is entirely responsible for the fallout that will undermine the USA for years to come..
13088	1	@USER man I woulda just started hitting the wall with that shit.  It ain't nothing by dry wall and some wood beams.  I'm getting through that door if I'm him.
87923	1	@USER @USER You know good and goddamn well that if you tried to explain all the gun control on a military base is proof that gun grabbing laws won't do shit if you look at Fort Hood.
43448	1	"""""""""""""""Trumpism"""""""""""""""" is going so well you along with all your liberal friends felt the need to try to trash it! People aren't stupid as you suppose. #RedWaveRising  #MAGA &amp; #KAG2018 URL"""""""""""""""
20144	1	@USER Lolol God he is such an a**hole.
29728	0	@USER @USER @USER You do scare Americans w/ ur fake dem platform. It’s mainly ur corrupt GOP ethics being ok w/ supporting pedofiles treason &amp; voter suppression &amp; the like. Dems actually want improved health care for all sensible gun control humane immigration policies &amp; to help all not just 1%ers
65821	0	@USER @USER It's almost comical at this point
55574	1	@USER I know sex sales and we all know Ridge was going to choose his daughter jmo I wanted Hope to get it
69656	1	@USER This nigga prob made her infertile god only knows all the germs he brought back
97499	0	@USER LMFAO!!!!!!!!!!!!! ANTIFA cry babies. Give them their pacifiers back.
18560	1	@USER No and they’re expensive ass hell
46933	1	@USER @USER There r 65 million that can sign to the affect that they didn't vote for an asshole.
33920	1	@USER Why isn’t she is custody?  I understand she cannot be in general population but she should be in custody and in some sort of holding cell.
66673	1	@USER @USER @USER For the love of all things sacred he cannot be voted in. He is well down towrds the bottom of that scummy swamp. The Scales of Justice need to let him drown in his own shit. Make 2018 the year of holding each other accountable for our responsibilities. ☮️❤️🇨🇦👵🏻
46624	0	@USER Wow he is away from his phone.
93229	0	@USER Here she is @USER 😞
65296	1	@USER Time to vote and spit in the eye of all these liberals
52724	0	"""""""""""""""@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER This is the VetsResistSquadron"""""""""""""""" is Bullshit.. They are girl scout veterans, I have never met any other veterans or served with anyone that was a gun control advocate? Have you?"""""""""""""""""""""""""""""""
97312	1	if i have to tolerate ur loud ass maga merch dont say shit about my nike anything kiss my ass
26792	1	@USER Why you ruin shit lol
47893	0	@USER @USER @USER He's on Capital fucking Hill. It's not like they don't know where he's at. They want to intimidate his family so he will back out. The media is Antifa in drag.
54335	0	"""""""""""""""13/? BOOOM.   The MAC telling the @USER to pay the public sector properly. Have that There's no magic money tree"""""""""""""""".   But this is a disaster. It means the #NHS is in crisis and competing with other sectors. URL"""""""""""""""
59483	1	"""""""""""""""20 Crazy Things Liberals Blame Trump For""""""""""""""""  URL #TCOT #MAGA #RedNationRising"""""""""""""""""""""""""""""""
29363	1	@USER Embarrassing for the liberals....I wonder who those women raped in school🙄
64378	1	@USER He needs to fade into the sunset quickly. His music sucks and no one cares about his political views. Unfortunately he’s too ignorant to realize. Only concert I went to where a political diatribe completely. ruined it completely.
31246	0	@USER @USER Big Wanda fucked with the wrong one 😂😂😂
76034	1	@USER @USER Great and I’m certainly anti fascist but  the group antifa is the most fascist and violent groups in America in case you hadn’t noticed and associated with the largest hate group in America the democratic party
30254	1	@USER Just another reason she is vile
76615	0	"""""""""""""""@USER Here is an alternative way to look at it  """"""""""""""""Conservatives less successful following simple instruction on an application form"""""""""""""""""""""""""""""""""""""""""""""""
80696	0	@USER You are amazing 💛💛💛
62156	1	@USER America will be better off once you retire Flakey Jeff Flake.  Go away.......
63411	0	16 year old stabbed in Dagenham this evening and the liberals are worried about data protection.  #c4news
14318	1	@USER oh my fucking gods.
48549	0	"""""""""""""""@USER ATTENTION. @USER is publicizing an ANTIFA TARGET list of Trump supporters. Some names are high profile and many are random Trump supporters. PLEASE report him to Twitter! They have NOT suspended his account. Chick the list for YOUR name under Lists""""""""""""""""."""""""""""""""""""""""""""""""
46130	0	@USER @USER @USER is SFOS! He's going to go away like @USER . Non electable. 🇺🇸🇬🇧 #MAGA #MEGA
68200	0	@USER I thought it was funny. He is a great player though.
94152	1	@USER A Whore MAYOR stealing the money and funded by Dems to bash Potus. WTF is the country doing with a 1960's power grid? God knows theres enough $$ to replace it.
49122	0	@USER Neither does antifa
28568	0	@USER He is bluffing. He shouldn’t have brought it up.  Now Trump need to insist or say it’s proof he is lying. Trump wins either way.
35518	1	@USER But not long ago the same Ray went off on a follower (who quite possibly pays for his services) for pointing out a guy (don’t remember who) for getting injured again. You guys pay this assholes bills
35393	0	@USER Body cams with a long battery life on your children when left with strangers.
73731	0	@USER @USER @USER I remember when conservatives slagged off the Labour Party as 'undemocratic' for allowing unons such a big say in Labour policies.
60672	0	*goes to song suffragettes*  Waitress: “there’s a $15 minimum food and drinks charge” Me to waitress : “who do you think you are?”
92666	0	@USER @USER @USER Did you hurt yourself jumping to that conclusion?   If you want biblical scholarship worth having read Bart D. Ehrman.  If you want ignorant schlock...well you are already here.
59002	1	@USER The Show Must Go On! We must have crazy liberals screaming and throwing a tantrum inside of that courtroom? If they let these same animals in as they did during the hearings this is just going to be another circus
31141	1	@USER @USER @USER SHIT I'M SAD!!! 😣
37859	1	@USER @USER @USER @USER  UK Polititians are a special breed of FILTH!  They get together and vote that their Expense and Sex Crimes (paedophilia) remain secret and then declare child abuse documents remain secret due to  National Security  Nothing to do with National Security
77378	0	"""""""""""""""1) Ultimately, the defense of Kavanaugh by Republicans, conservatives, their media and public is a manifestation of America's rape culture -- the latter being neither 'colorblind' or 'race neutral.'"""""""""""""""""""""""""""""""""""""""""""""""
55298	0	@USER @USER @USER Lol #liberalfool just MAGA
99981	0	"""""""""""""""@USER Top 5 liberal excuses"""""""""""""""" #1 Racism #2 Sexism #3 Russia #4 Guns #5 Rich It's what liberals do when they are losing and desperate. VOTE DEMOCRATS OUT!"""""""""""""""""""""""""""""""
45920	1	@USER For the hol tl to see😭. That’s tht Big Dick energy 💯
39269	0	@USER You are amazing and I love youuuu!!
45222	0	@USER The real #Antifa
64731	0	.  ♥️ Levi Strauss &amp; Co. is donating more than $1 million over the next 4 years to nonprofits &amp; youth activists working to end gun violence by establishing the “Safer Tomorrow Fund” &amp; partnering with gun control group Everytown for Gun Safety.   #Levis #NeverAgain #GunSenseNow URL
70216	0	@USER It just turns by itself into the wall
97272	1	@USER @USER @USER @USER ☝️What “Trumptards” will be doing to dirty liberals in November.   I was patient at first but now it’s clear the left has absolutely zero intention of playing by the rules. I hope President Trump CRUSHES your joke of a party under the fullest extent of the law.
70414	0	@USER Disgusting.  He is going down and taking the whole church with him.  My God.
58928	0	@USER She is buttering the media up...  Guilty...
91000	0	@USER how’re you going to communicate with customers
13278	0	#Mueller #DOJ #FBI #CIA #LawEnforcement #PoliceState   Proof all law enforcement are paramilitary goons for the communist leftwing #DNC &amp; will do anything to solidify their grip on power.   Conservatives should seriously question their support of police.  URL
89548	0	@USER i still get this half my work days and all i do is sit on my computer in bed lmao
93598	0	@USER Another country with strict gun control.  For some reason gun control never helps the average citizen but dictators and terrorists sure support it.
84905	1	@USER He needs to Either Pick Politics or Singing ....... Either way He Stinks at Both!
35882	0	@USER Now how did this happen in gun control NYC?
37532	0	@USER @USER @USER You are goddamn right both sides will be heard. We want the TRUTH Kavanaugh. Republicans better not put party above country.
16525	0	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Exactly that’s what liberals don’t understand we WILL DIE FOR OUR LOVED ONES
29573	0	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed all Patriots 🇺🇸 #MAGA 🇺🇸 Thank you in advance for your follow back. 🇺🇸#MAGA 🇺🇸 #VoteRED
