id	subtask_c	tweet
43409	2	@USER @USER @USER @USER @USER @USER @USER @USER This sounds as relevant as the march in Mumbai by the woke snowflakes for Gun Control😂. Abortion in India is legal and only the woman's choice is required. Take your circus elsewhere. Instead take up the issue of oppression of Hindus in India. This is at least relevant.
59336	0	@USER you live in the big dick part cause your gay
72645	0	@USER He wants his 5 min of fame.
57417	0	@USER poor @USER she is a rager and a shamer. sad....
13566	0	Democrat can't even compete w @USER #MAGA URL
24782	0	@USER how long will it take for one of the biggest arsehole's to appear this millennium @USER get humiliated and exposed for the corrupt fake lying toad that he is? URL
73814	0	@USER ...with his stubby little arm.
16707	2	@USER @USER @USER @USER Mob death threats?  Has Antifa turned on her?  Maxine Waters?
70288	1	@USER Amazing how much money is being thrown at this guy by liberals freaking out. Beto epitomizes everything that is wrong in America. Vote CRUZ!
66464	2	Alaye turn if your maga don pay
15888	0	@USER Just plain stupid she thinks she’s being clever but come the next GE the public will make the Tories pay by casting them into the political dustbin for yrs to come see how smug she is then
26674	0	@USER @USER I'm sorry but damn she is hot af
39021	0	@USER Oh my Carmen. He is SO FRICKING CUTE
87824	0	@USER @USER She is such a disgusting hypocrite!
79688	0	@USER As usual a seemingly and supposed smart feminist thinks she has made sense.. Yen yen yen yen yen yen alone... You just told me rn you are also dealing with another person.. Have you considered maybe you are the toxic one?
62844	2	@USER Damn right .if you think any different then your part of the problem with this country .thank God we have a president who puts #AMERICA #FIRST instead of putting illigal aliens ahead of americans .
90804	1	@USER @USER HIRE AMERICAN YOU PIECES OF TRASH!!!!! PLEASE!!!!!! AND STOP BANNING CONSERVATIVES ON YOUR PLATFORMS PLEASE!!!!
45171	0	9 factory workers gunned down in Iowa City with 20-gauge Winchester pump-action shotgun. The NRA blames gun control laws.
23311	1	@USER Another dumbass Democrat. One thing you have to say about this president is he’s not lazy. Another bullshit story as usual
75385	0	@USER MAGA= Mushrooms are growing again
71246	0	@USER Why not begin the movement by giving away some of the farms and mine claims you and your connections took while you were still relevant. That way; we can show your concern for us. From where I am standing; you are just another bitter polutician. Charity begins at home baba.
47988	0	@USER @USER The pope is Satan incarnate
98013	0	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Retweet to the end of time. MAGA Trump2020 and beyond.
80913	0	@USER But the Frogs said it wasn't a  Muzzie terriorist attack.
69662	0	@USER She is a liar like Hilary Clinton.
12747	0	@USER a perfect description of ANTiFA. Fascist shit bags.
10665	1	@USER @USER @USER Weak argument considering  -GOP congressmen were shot at a baseball practice -People wearing MAGA hats are routinely attacked -Antifa mobs commit violent acts wearing masks -etc.
65323	1	"""""""""""""""@USER The democrats are becoming more despicable by the day! There is no bottom to their vitriol and lies"""""""""""""""" barrel.  Why liberals go along with this makes no sense."""""""""""""""""""""""""""""""
69972	0	@USER @USER @USER What part of NO COLLUSION don't you get??? This is why you are a dumocrat
48712	0	@USER It’s a shame you are so damned unattractive...
19091	0	@USER @USER This B**ch Behar needs to shut that big ugly hole on her face and think about the fact she's not giving Kavanaugh or his family the benefit of their rights as citizens. In her fat head they're guilty bc they're Conservatives. Behar needs a muzzle around decent people. HRC clone.
57048	0	@USER HE is Satan!
17565	1	@USER Too many Republicans/Conservatives perennially bringing a knife to a gun fight is how Connecticut has ended up a basket case state.  If you can't stomach matching your adversaries aggression level you will get steamrolled.  Every 4th grader knows this.
19061	1	@USER Lol they have no idea Nazis were socialist. Their complete inability to grasp reality is so mind blowing. Antifa is no shit calling for a civil war to defend slavery. The confederacy considered Lincoln a fascist too... hmmmm.
35430	0	@USER @USER Is he?  Does he know this?  You sure he's not out golfing??  Or maybe tweeting like a lunatic.  I bet he is planning his next #MAGADingDong rally.  He was never President.  You are just to brainwashed to realize that.
86758	0	@USER @USER Looks like he is urinating in the water
96311	0	@USER What the fuck is wrong with you?
46048	2	@USER Kirinodere and the Curious Case of the Fucked Customs Fees. 10/10 good book.
18702	0	@USER Hell did they boycott McEnroe.....this is too much!!
79226	0	@USER Really? Can you show me the studies from countries that have common sense gun control to support your statement. Thx.
59696	1	@USER @USER Bet Ford is a part of antifa and the Berkeley gang
