id	subtask_b	tweet
32748	1	100% TRUE! and she is stupid as well! URL
33032	0	@USER @USER American terrorists. We need strict punishment for these lawless thugs. STOP powdering Antifa’s ass.  #BackTheBlue 💙🖤 #gettough
31793	0	@USER She don’t even wear the shit I buy her now. Move away from me.
21614	0	@USER @USER No people died because officials robbed n didn't do their jobs
51297	0	@USER @USER She is a 🤡
28812	0	@USER This all I get 😢 damn these haters deleting you IG for no reason... URL
95092	0	ANTIFA is a domestic terrorist organization that leeches off of George Soros's money. They are a domestic terrorist organization that uses intimidation &amp; violence to spread their ideology.
47545	0	"""""""""""""""""""""""""""""""@USER @USER Yes, thats why you need to bring in gun control. Even better.   You shoot yourself in the foot real well. Im going to harass a school shooting survivor"""""""""""""""""""""""""""""""" ass ."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
26310	0	@USER Y’all need to know that she is human being and knew Mac for so many years and was in a relationship with him. She’s grieving. She doesn’t have post something to prove that. AND IT IS NOT HER FAULT HE DIED LIKE DAMN! Stop blaming this poor girl. His addiction killed him.
68297	0	@USER A whore's book being published! All the looney liberals run out and buy it
23152	0	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed most patriots already and got the rest appreciate a follow back #MAGA 👍
47815	1	#DownwiththeDemocrats!!! #DemocratsHateAmerica #DemocratsAreDangerous #VoteDemsOut #VoteRedToSaveAmerica from the Loco Liberals &amp; TDS  Let All True #Conservatives &amp; ALL who chose to #WalkAway prove that #LiberalismIsAMentalDisorder and needs to squashed like a Bug!!! #VoteRed2018 URL
34790	1	@USER shit ain’t gone work bruh URL
57952	0	@USER lemme rap on that shit. I'll do a video floatin downstream in a coffin like in horrorland lol
54898	0	@USER Rep Maxine Waters has been threatening violence on you the President and vise President. How come she is permitted to do this. Is the DOJ and Washington capital Police sleeping?? Why are all democrats above the law? This is a crime! URL
53913	0	@USER If you ain’t hyping me up like the nigga in the back ima have to throw the whole friend away
29608	0	@USER Evidently she's as big a narcissist as he is.
11650	0	#obama: wall won’t keep terrorists away. Same Obama: gun control will prevent killings by criminals (and terrorists?) #WalkAway
65338	0	@USER @USER says social housing is good and in the same breath talks of climbing the ladder.   Hypocrisy incarnate from a failed lying politician lining her party's pockets with tax money for real estate builders @USER building their failure of lies
70652	0	@USER @USER @USER She is mentally unstable.
78650	0	@USER Funny that even the woman that brought Roe vs. Wade to the #SCOTUS regretted it later. It was one thing to have a medical emergency that required an abortion (though rare) &amp; another to have liberals celebrating killing their unborn children &amp; pretending it's health care.
70844	0	@USER I was think she jisoo but I’m Focused I found she is taeyoun
28195	0	@USER @USER @USER gun control! That is all these kids are asking for!
64289	1	@USER WHAT THE FUCK
33913	0	@USER Maybe they will Havana an Antifa race war &amp; slam the dildos out of each others butts.
53328	1	@USER Another war “Hero” speaks out🇺🇸🇨🇺🇺🇸🇨🇺🇺🇸🇨🇺
93601	0	@USER @USER @USER I am sure he is doing that in his organization.   Also respect is a two way street. Law enforcement  job is to protect  and SERVE its citizens.  It like they miss that part .
80913	0	@USER But the Frogs said it wasn't a  Muzzie terriorist attack.
52122	0	@USER @USER Word cause her music SLAPS THERE'S NO REASON SHE SHOULDN'T BE SELLING OUT BIG ASS SHOWS (idk if she is or isn't but she DESERVES)
90829	0	@USER @USER The fact that Newsweek no longer tries to give both sides of the story but instead only gives the side of #Antifa far left liberals and their gods in the #DeepStatePanic   Take a look at Newsweek’s circulation they don’t even have enough readers to put out a print edition anymore
77688	1	@USER Did you go to the south side where thousands have died? Strictest gun control policies in the country and they don’t work.
45920	0	@USER For the hol tl to see😭. That’s tht Big Dick energy 💯
27553	0	@USER @USER steroids and pills mixed in with their alcohol that is a little bit of a BIG NIGHTMARE or bad dream right there... ANTI-SUICIDE LAWS and gun control LICENSE FOR EACH GUN PLEASE walks into a cop station  URL
71929	0	@USER i just gave Beto $100 and you all should as well.  Trump called Ted's wife ugly and he is still licking his boots for help with reelection.
30076	0	@USER @USER Time will tell. Not the type to jump on the lefty bandwagon and demonize someone until they have had a fair chance. His policies will either be a huge failure like the liberals and result in losing the next election or they will be a success and ontario will dig out of the hole
77786	0	@USER Poor old Rudy he is as full of shit as a Christmas Goose.
31745	0	@USER @USER Really a sickening issue. Liberals are vicious!!!
31229	0	@USER This game sucks donkey balls
80904	0	"""""""""""""""""""""""""""""""@USER Yes! The good old days when conservatives got pushed around and bullied by democrats who never gave an inch. The good old days when all conservatives could do was feign outrage and promise to go get them the next time. Yeah, that's what we need. That's the healthy"""""""""""""""""""""""""""""""" libs love!"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
99832	0	@USER I am definitely for antifa members getting themselves killed.
73488	0	@USER @USER He is a disgrace he needs to resign or the citizens of Maricopa County need to start a recall.  If he FUBAR’s the General Election that should be it. No waiting until 2020.
38878	0	@USER @USER These liberals have no problem lying.
92597	0	@USER Because Gutierrez is corrupt and so are the unions there.
68181	0	@USER @USER When tRUmp posts shit like this you know that he is distracting from something else that is going on. #Distractification
59639	0	@USER @USER Hope you're right about that last part. But I've learned it's pointless to underestimate the stupidity of TX conservatives.
82955	0	@USER What do u expect from vile violent lying disgusting liberals
41538	0	@USER @USER @USER @USER @USER @USER @USER @USER @USER You said that if my speech offends someone then I should be fined/jailed.  I asked if you should be fined if you wanting gun control offended me
84367	0	@USER @USER No I have no relationship with him he is not worth the energy it would take to hate him. I have more respect for the gum stuck on the bottom of my shoe than such a selfish spoiled entitled narcissist!
11776	1	"""""""""""""""""""""""""""""""#Republicans morals are stronger than #Democrat #Liberals  Evidenced by trying to stop Liberals from aborting themselves out of existence  It's the right thing to do   Even though letting them kill off their young so Natural Selection would win would benefit us more  #MAGA #KAG"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
13230	1	Even Obama Trade Rep Acknowledges:   Trump Is Cleaning Up An OLD Global Trade Mess  URL  #maga #MakeAmericaGreatAgain #makeamericaamericaagain #makeamericastrongagain #makeamericasafeagain #makeamericasaneagain
90426	0	@USER @USER She is the daughter of her parents.  All illogical hypocrites.
90341	0	@USER You are beginning to sound just like a stuck record Brian. Why don't you go and find something less boring to do instead.
34708	0	-Willie you just lost over half of your fans by getting involved in politics!! Fan no more!! I cannot believe you support open borders and gun control!! You have smoked too much dope! I guess that is what you and Beta have in common! URL
12747	0	@USER a perfect description of ANTiFA. Fascist shit bags.
32463	1	@USER I’d rather be buried alive
52581	0	@USER @USER What that you are a coward that can't put your own pic up? Yet you feel you can judge others looks? Yep I'm sure people do call you out on the regular.
20030	0	@USER @USER Why the fuck do you cover American politics more than Canadian politics? @USER is a fucking disgrace. Report news. All news. Not just the stuff that makes conservatives look bad and ignore the stuff that makes liberals look bad.
62665	0	@USER @USER @USER This is why Chicago  won’t enforce gun laws on the books or go into these neighborhoods These murders are planned by gun control liberals so as to pass very strict or even confiscation of guns. Black Luves do not matter to these liberals trying to pass their agenda. 2 Admendment
15636	0	.@USER just read that flaming pile of garbage you wrote and the National Review calls an article. Why are liberals losing their minds when the President is being investigated for collusion with a foreign government?! Why is he nominating ANYONE for a Supreme Court appt?
15836	0	"""""""""""""""""""""""""""""""@USER You know what will make this professor even woker""""""""""""""""""""""""""""""""? If he's a gun control nut...."""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
80635	0	@USER This is the most ridiculous tweet I’ve read today. Comparing the traitors that are the #cpc to the liberals is like saying the democrats and republicans are two of the same. Grasping on straws. Pathetic
83578	0	@USER @USER @USER Of course not she is young and dumb. If she really had a brain she wouldn't believe in socialism
25377	0	@USER @USER I wonder if antifa will be rioting in the streets after they find out how corrupt the government is
26587	0	@USER Than we wonder why the Dems. are blooming idiots here is a fine example. How to teach your kid to be a vulgar protester. Way to go Dems. this kid will grow up to become President of Antifa.
52917	0	&gt;Tfw She is a lesbian
98184	0	"""""""""""""""""""""""""""""""@USER Tough crap Mazie! There should be a Me Too"""""""""""""""""""""""""""""""" for men with false accusations against them as well as those hurt by Democrat lies, false accusations, biased government agencies, biased media sensationalism and Antifa bullies etc......"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""
55766	0	@USER could fund an entire school incl teachers’ salaries and have then teach his own curriculum. Indoctrinating generations of youth however he sees fit...my gas tank on E rn
92670	0	@USER @USER He is seething!! You can see it in his eyes and hear it in his voice!! Obama was a failed president in every sense of the word! #MAGA #KAG 🚂🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸
61831	0	@USER Another illegal
92835	0	@USER @USER @USER Good for you.. he is bit miss guided for me to follow as the guy to me seems more like an idiot &amp; a crock but if you think that he is perfect even though there is multiple investigations against him whom am I to disagree. I'm still looking for a better role model for America cya
64838	0	@USER @USER @USER You’re the embarrassment who should be kicked out of the @USER
36578	0	@USER @USER @USER The Nov election will tell the tale.  MSM laud Antifa;  alt-media expose them as Soros-shill shitheads.
11886	0	@USER @USER Maybe consider this instead Theresa May isn’t real name. She’s Annette Johnson a Mediterranean and the conservatives are now a terrorist org. Sod chequers 🙉😇⭐️🌈⭐️ URL
