id	subtask_a	tweet
75985	0	@USER Never had any intentions of showing up. Only intended to delay and testify by way of DNC hit woman lawyer and media.  Time to vote on Kavanaugh and any Republican not confirming as Justice should be remembered by all conservatives at the polls.
31534	0	@USER Aw. He is so sweet. Sharing food is significant. How rude. Did they eat well? No!
45025	1	@USER Pussy and ass are ✌🏾different times. And I've NEVER in my black life ever ate chittlerings lol
34182	1	@USER you are not welcome
76336	1	@USER @USER @USER Harris makes herself look very ignorant daily! #MAGA without them!
88855	0	@USER whens the next meeting?
13821	0	@USER Well he is shooting his shot
93348	0	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Great girl and I’m sure there are more of them. In the Democratic Party. She is a real prize
75631	0	@USER @USER Agreed!  What is wrong with Senator Collins to suggest this as tho the victim is on trial - She is not!
32524	1	@USER Fuck off
85608	0	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER He'd laugh at the modern Antifa
41416	0	@USER No wonder liberals are so messed up! Watching and supporting trash tv!
37457	0	@USER Interesting; my interpretation of the piece was that he was speaking tongue-in-cheek in relating his psychiatric condition to the gun qualifications to highlight the ironic and counter-intuitive nature of gun control laws. I thought it was a well balanced insider piece.
98720	0	@USER @USER Absolutely!  We all know the Dems want all the votes coming to them; that is why they are all pushing for it to happen.  Dems/Liberals are plainly UnAmerican. All they care about is their paycheck and their position. 1st We need term minutes; no more than 2 terms like POTUS has.
22381	0	@USER Becoming a woman?
93212	0	@USER @USER @USER Now u r making political issue. She died this is it. Many peoples r dying daily because of them. Why She is So Special ? Encashing her death for sympathy of Corrupt what r u doing Waseem Bhai ?
84864	0	@USER Chicago Tribune: London Mayor Sadiq Khan And The Ties To Farrakhan He’d Rather Forget URL via @USER
68304	0	@USER Billy Shears Rips 'Mad Captain' Donald Trump in Climate Change Song.
29875	0	@USER I respect you so much. I love what youfe doing regarding our youth and our culture. Thank you for loving your people. You are loved and appreciated. Blessings multiplied u to you!
87826	1	@USER DJT2- You have to remember his daughter is married to am Iranian and so he defends them at all costs. He is a coward and a disgrace. Thank GOD for your Dad or we would all be in a World of hurt!
66663	0	@USER @USER @USER He is gonna ..how do you say..?? Splinter the Sphincter of DC🤣🤣 URL
97874	0	@USER Don’t believe that.
25852	0	#GOP #Republicans #Conservatives are now proven Male Chauvinistic Pigs  Why any women would #Vote for them is astonishing.  #Kavanaugh URL
47457	0	@USER Why are you the way that you are
67183	0	@USER She is with stormy
75399	0	@USER Character of a crook better off using Dillinger
32432	0	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER They will try don’t want attention on released FISA documents
98344	1	@USER @USER for your encore say that every other western country that’s all but eliminated mass shootings through effective gun control are lying too... it would be fitting
40520	0	@USER I can’t wait till antifa dorks get shot trying this.
19138	0	"""""""@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER No, I'm 100% sure you're watching right-wingers posting things only. And think you see discrepancies in narratives""""""""?  What I posted wasn't """"""""approved antifa video"""""""" at all. There's no such organization. What it was was a popular Youtuber examing what Antifa is without any bias."""""""""""""""
68412	0	@USER She is backon twitter
27618	0	@USER Absolutely and nothing ever came of it.
86444	0	@USER @USER Oh nooooos!!!   I hope you are safe during this storm!!
53551	1	@USER @USER Bitch shut up he building his self esteem
38773	0	@USER Cough*Nicky Haley*
92636	1	@USER @USER He also thinks it’s a success doing nothing about gun control with kids being murdered in their schools by people who have no need to possess guns!
18948	1	@USER @USER MY FACE WAS SO CLOSE TO THE CONCRETE BITCH I COULDVE PROBABLY STUCK MY TONGUE OUT AND LICK IT
83339	1	@USER @USER The Stinking media says Antifa and Code Pink are black radicals...every one I ever saw was a Racist White Democrat and they blame their violence on blacks.....bad stuff
16879	0	@USER God help us if that happens
16729	0	@USER @USER @USER @USER The issue is her volatile temper-she once threatened a lineswoman. Clearly the $10.5k penalty imposed was not harsh enough because she is a repeat offender. If you get caught speeding/jaywalking and are fined-odds are you think twice before doing it again
49250	0	@USER @USER GET OUT OF MY MENTIONS (i stand corrected)
11741	0	""""""".@USER   What say you now?  I guess it's ✌️for liberals to use the so called white power"""""""" gesture.  URL"""""""
35183	1	"""""""@USER @USER @USER And civil rights,"""""""" like the 'right' to kill your own child transcending a child's right to life...from the same people that insist on more stringent gun control laws to 'save the lives of children.' Let that sink in..."""""""""""""""
83724	0	@USER @USER So only people that own firearms are allowed to comment on the Gun Control Debate??!! 😁
24776	0	@USER Did you even READ this article?  No one is suggesting Trump made this claim. And there are several links to good deeds he IS credited with. URL URL URL
72641	1	@USER yeap she is politically a lame duck already dead politically
37146	0	@USER He’s not even one of the strongest conservatives that could have been nominated and it has still come to this.
84693	1	@USER He is NUTS!!!!
33322	1	@USER @USER Just looked up his work History he is listed on the Board of Leading Age Services Aust (LASA) and comes from Medicare Local Alliance...what ever the hell that is
83135	1	@USER @USER @USER He's not an opportunistic liar. Nor have you proven he is. So your whole argument is fake news.
92027	1	@USER Where is the fascist version of Antifa?
31853	1	@USER you fucking -
83105	0	This y’all king? #maga URL
12564	0	@USER @USER she is a Private URL
86742	1	@USER Again another b******* story no one is watching football because of this a******
77220	0	@USER It isn't news that Conservatives really hate our rights and freedoms.
27837	0	@USER @USER Glorita you are THE Most! ✨🇻🇪
64439	0	&amp; could prove we're in opposite roles? THE DUALITY OF EVERYTHING. very scary. BUT i can't feed that thought rn).  need to think abt how grateful i am that she's saying these things bc it's finally getting to me that i can't keep caring abt her &amp; that she is not who i think she is
51710	0	@USER Yeaaaahh she is!! &lt;33 URL
63497	1	@USER I can't believe Luigi fucking died 😘😩❤️
97619	0	@USER ANTIFA hides their identity behind ski masks. We are living in such times.
32612	0	@USER @USER Two words: Gun Control
54652	1	#Trump was walking towards a crowd excited to see him. He was reciprocating the love. That moment was about the reception not 911. It was genuine and honest. Barack is nothing more than an actor who fakes crocodile tears to call for gun control.
61109	1	@USER @USER This is ridiculous. She is going to have to vote for him at this point or it will be apparent she accepts bribes.
31475	0	@USER @USER They probably get bonus pay for that
94169	1	@USER @USER SHE IS A FUCKING MESS!! I HATE HER SO MUCH
30254	1	@USER Just another reason she is vile
37577	1	@USER @USER can go straight the crapper. I’ll never support another team again.
17258	1	"""""""@USER If you love our cops so much, why do you make it your life's goal to take away tools they need to stop crime, and put their very lives at risk? Why do you support ANTIFA thugs who assault cops and screech All Cops are Bastards""""""""?"""""""""""""""
55558	0	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER damn... then I'll drink and fight right next to him... OOH RAH its party time and Antifa are the pinatas
58476	1	@USER He is a knucklehead.  He is not making good decisions.
48185	1	@USER I do not know who these POS Nazi Liberals are &amp; don't care to know.   Everyone of the Hollywood elite can &amp; prob will go to he!!.
83242	0	1st thing Liberals and Conservatives want to pass is the TPP trade deal URL via @USER #cdnpoli #tpp #nafta
92935	1	@USER #oshaeterry #ThugLife #Criminal Behaved as an Ordinary Disposable Criminal. #MAGA #MAGA2020 #MAGARallyRules #TexasPolice
21990	0	@USER They had sex he kicked to the curb. Melania in the white house she is still on the pole. Big memoir
65079	1	@USER Fuck yeah you are!!!!
14370	1	@USER Spoiler Alert : This episode has a hidden agenda to promote gun control
31790	0	2. The reality is that Alleslev’s crossing over (more like double Xing) to the CPC is good news for the Liberals as anyone who seriously believes that the cons are a better party has questionable intelligence &amp; judgement and the Liberals are better off without her @USER
80298	0	@USER @USER Anyone besides me think he is angling for Sessions job saw today statement made only sitting Senator would be approved as replacement otherwise Senators wouldn't stab Session in back well not sure how it makes a difference but LG may be angling then send Mueller packing
32491	0	@USER @USER Its unfortunately not as cut and dry as all that. Gun laws vary per state. Even cities. Compare Chicago that has extreme gun control with New York that has almost the same level. Yet Chicago has horrible gun crime and NY not to that extent? Criminals are the problem.
93778	1	@USER You are an absolute dick 😡
23136	0	@USER @USER Dude... listen to yourself... igl is so much mure than just calling.. all the prepwork and everything.. yeah so niko called in one game or in one map... it’s like MIBR with cold n fallen... he is such an important player for this roster. 4 superstars and the team works. #KARRIGAN
39719	0	@USER She ran are holding an assault rifle and calling for gun control. MY may be moving left but not that far
11763	0	@USER You can’t pretend to care about women when only those attacking conservatives count. Got it? 👏👏👏 🤪
91001	1	@USER Good move....he is the big loser
42226	1	@USER @USER Oh shit u went there 🤣🤣🤣
60441	0	@USER You are a definite follow! O-H
43057	0	"""""""@USER @USER The racist excuse every time telling it like it is"""""""" """"""""against being PC"""""""" URL"""""""
63524	1	"""""""@USER @USER @USER @USER @USER @USER @USER This women is a vile example of the far left lunacy. She is using the Alinsky, Rules for Radicals Handbook."""""""" No matter what u have to do, (lie,steal,use violence etc. )u must destroy the conservatives. They lack character &amp; have no moral code."""""""""""""""
27207	1	@USER Amazing that the Dems are always the ones who hear the whistle.
11740	0	@USER What? He didn’t get to where he is by saving money through eating McDonalds. How much he makes is the only thing that is relevant.
