id	subtask_a	tweet
86426	1	@USER She should ask a few native Americans what their take on this is.
90194	1	@USER @USER Go home you are drunk!!! @USER #MAGA #Trump2020  Oncoming Fist 🇺🇸 Oncoming Fist  URL
16820	0	Amazon is investigating Chinese employees who are selling internal data to third-party sellers looking for an edge in the competitive marketplace. URL #Amazon #MAGA #KAG #CHINA #TCOT
62688	1	   @USER Someone should have  Taken     this piece of shit to a volcano.  Face With Tears of Joy        
43605	0	@USER @USER Obama wanted liberals &amp; illegals to move into red states
97670	1	@USER Liberals are all Kookoo !!!
77444	1	@USER @USER Oh noes! Tough shit.
52415	1	@USER was literally just talking about this lol all mass shootings like that have been set ups. it is propaganda used to divide us on major issues like gun control and terrorism
45157	0	@USER Buy more icecream!!!
13384	1	@USER Canada dose not need another CUCK! We already have enough #LooneyLeft #Liberals f Asterisk  Asterisk king up our great country! #Qproofs #TrudeauMustGo
82776	0	@USER @USER @USER It is not my fault you support gun control
42992	0	@USER What is the difference between #Kavanaugh and @USER   One of these men admitted to groping a 15 year old girl years ago.  The other is going to be #confirmed to the SCJ   #DemsareFrauds #DemsAreDone   #WalkAwayDemocrats2018 #redwave #VoteRedSaveAmerica #trumptrain #MAGA URL
28414	1	@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL
54920	0	@USER @USER @USER It should scare every American!  She is playing Hockey with a warped puck!
56392	0	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER I like my soda like I like my boarders with a lot of ICE.
86735	0	@USER you are also the king of taste
95686	0	#MAGA @USER  Musical Notes Sing like no one is listening   Heart Suit  Love like you have never been hurt  Heavy Check Mark  Vote GOP when no one is watching  Hear-No-Evil Monkey  And do not listen to Liberals' dirt URL
71446	0	   5/5: @USER The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli #cdnhist       
23958	0	@USER Besides Jax's mom and maybe Ope he is hands down my favorite he is like the only good person on the show  Face With Tears of Joy 
28195	1	@USER @USER @USER gun control! That is all these kids are asking for!
56117	1	@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL
67757	0	@USER @USER You are correct.
12681	1	@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?
82904	1	@USER @USER Da fuck is going on people?  There isthe men is room and the woman is room  Pick one and stick w it  Thinking Face 
63236	0	@USER Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL
77665	1	@USER Tbh these days i just do not like people in general i just do not connect with people these days just a annoyance..
83484	0	   South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang”      URL #TCOT #MAGA #RedNationRising       
74932	0	@USER @USER You can tell he is a hooper too
91252	0	@USER I feel like he is better chasing the title
25440	1	@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and dose not bash them.  She has a positive message.  So who is dividing the left?
81613	0	@USER Glad to see your friends are supporting Metis rights as much as you are supporting Zionists. URL
82333	0	@USER Yes you are but I was asking what is it about the movie ? Man Shrugging ️ Eyes 
12609	1	The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK
13017	0	@USER No wonder he is being apologetic and more social these day....
18129	0	@USER @USER @USER Any updates re ending your blatant #racism as #Windrush &amp; #Grenfell proves you are  @USER @USER #alloutpolitics #politicslive #PMQs @USER URL
70380	0	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Do you know what's going to happen now?  I am going to have to lay in bed and cry while I listen to Kelly Clarkson. Thanks free speech antifa.
12108	1	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn's sentencing keeps being rescheduled? URL
14726	1	@USER @USER @USER That is expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke
74358	0	@USER Blow hard
82599	0	@USER @USER @USER That means you are a max lvl. Twitter user and maybe should try a new game
40212	0	   @USER @USER Please explain what controlled opposition     means.  As for Bernier escaping, he split with the rest of the Conservatives because he is even more racist and exclusionary than they want to be.       
78367	0	@USER @USER @USER @USER @USER Socialists politics that stand up for the downtrodden. And well done for conflating criticism of Israel with anti semitism. You are also part of the problem.
66596	0	3. Nina  One of the reasons I didn't read this book for so long was because I was SO WORRIED about her character. I should have  trusted everyone. Nina is a goddamn goddess I would die for a thousand times over. She is big and bold and lovely and PERFECT. HER ARC. IS. PERFECT.
70999	0	.@USER @USER @USER @USER @USER  PLEASE vote NO on Kavanaugh. He is not fit for SCOTUS and allegations about women and shady financials should disqualify him.    #RuleOfLaw matters. #MeToo #CountryOverParty #WithdrawKavanaugh  #StopKavanaugh
36026	0	   @USER @USER Ppl who say I'm not racist     are racist. You Are A Racist. Repeat after me       
29439	0	@USER Kathy the Patriot Statue of Liberty   YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP!!!  A SPINE OF U.S. STEEL!! CHANGING IT! ON TRADE &amp; EVERYTHING FOR AMERICANS!! #AMERICAFIRST #USA #MAGA #LEADERSHIP &amp; #RESPECT #ECONOMY #JOBS #PEACEthruSTRENGTH #GOD #BLESS #TRUMP &amp; #THEUSA      Grinning Face   Statue of Liberty  Statue of Liberty  Statue of Liberty   Grinning Face 
74477	0	@USER Wow you liberals really do not have a sense of humor. Face With Rolling Eyes 
49845	0	@USER I'M SO FUCKING READY
32305	0	@USER Holy moly!! If the catholic people haven't been awakened by this ..... #FalseProphet  #Lunatic
77243	0	@USER Lol yeah per dina he is There everyday per claudia no horse got vet care unless it was for donation example limping etc
73205	0	@USER @USER @USER What a surprise.... same as antifa. BLM and so on and so on. Soros is Americas worst enemy in HISTORY. He believes the only way to take down the USA is from withing. And hes right. But it's not gunna happen.
47311	0	@USER Me too! Her wedding was the best! She is very pretty!
48553	0	@USER @USER No conflict here—do not look at this.  #Soros involved in violent left agenda of Antifa also.
75689	0	@USER @USER @USER URL any of your announcements every come to fruition or is it basically stealing Labour's ideas to get a few more votes
84102	1	4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???
10607	0	#GUNCONTROL advocates must STOP falling all over themselves to assure electorate that they too love the HORRIFIC 2A URL
43913	0	@USER @USER Hi there! We love what a huge fan of Camila Mendes you are! Would it be alright if we used your tweet about her in our promotional material?
98992	1	@USER Fuck off
92056	0	@USER Certainly a weird view toward the Margaret Sanger geonicidal philosophy of aborting minorities.  I'd like to know if the black population that suffers the most shares her opinion
33853	1	   @USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing           
75215	1	@USER @USER She is useless.  Attempts to do the right thing but never follows through.
96218	0	#WalkAway liberals......Your party is POISON. URL
57013	1	@USER Grateful Trump dose not have a dog in the White House. He is a cruel man.
20883	0	@USER You are lying. Stick with the facts. We pay more than that now.
74831	1	@USER Trump kicks dem butt - its so fun.
53264	1	@USER @USER @USER He is dumb and dumber all in one president.  It is a two for one.
28204	0	#Toxictory minister @USER attempted to expense £50 charity donation! It is what  @USER do!! @USER #Toriesmustgo #DissolveTheUnion  URL
42024	0	@USER ur so straight forword man OK  i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior Green Heart  artist love for #Manmarziyaan  Cowboy Hat Face  Thumbs Up 
84664	1	@USER And this from the clown that should be in prison?
54842	0	@USER @USER @USER @USER did Twitter silence alex jones in retaliation of him asking Twitter jack questions  @USER @USER @USER @USER URL
48995	1	@USER Thats because you are an old man.
47153	1	@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!
76826	0	   @USER @USER No you're not..you're here 2 represent the Alinskyite Orwellian Leftist Tool&amp;Fool view on things..like 99.9% of the Marxists&amp;Antifa similar 2U..psst! And B4U use the words fascist or fascism again go ahead &amp; read D'Souza's book The Big Lie    ..right now U know SQUAT about either..       
27645	0	   @USER I do remember. :( But somehow centrist     antifa-haters can never quite seem to bring themselves to condemn such things.       
64429	1	@USER I mean it worked for gun control right? URL
20943	0	@USER I think the last thing on the WH or Trump's mind is April Ryan. She needs to stop flattering herself. She is not as important as she thinks she is.
78064	0	@USER Principled conservatives are #Hypocrickets
14122	0	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Do not forget @USER &amp; Democrat backed #Antifa
72353	0	@USER She is a beautiful person to teach values to her kids. Teaching them they are royalty but keep to keep it from going to their heads. Stay real  Red Heart ️
39051	0	@USER Bring out his Antifa criminal son to campaign for him
54546	0	@USER @USER I did not watch and will not watch @USER Watching the September 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a Saturday.
50759	0	A tear is made of 1% water and 99% feelings.
75992	0	   @USER @USER Trump addresses gun control representing the NRA.  I will not let you down     he says. URL   
45068	1	@USER She is drinking so much koolaid she is bloated.
17259	0	@USER Holder needs to be prosecuted
95225	0	@USER But... But... BOTH PLAYERS WERE WOMEN. And BOTH WERE WOMEN OF COLOR!
84667	1	@USER @USER @USER @USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!
14574	0	 Asterisk babysitting 3 kids Asterisk   people:”how old do you think she is?” “she has three kids”  me: Asterisk dont get mad. do not get mad. they do not know. they do not know Asterisk 
23784	0	@USER well...? URL
93119	1	WTC This is a threat!!! ..@USER #Maga #QAnon #WakeUpAmerica URL
30115	0	   @USER It is easily digestible content.  There isno need for nuance or to even understand the story.  They can show a picture of an ANTIFA     and get the base level emotional response their content requires in order to be profitable.       
69281	0	@USER @USER Try looking for plain old democrats.  The liberals are the ones which you can not have a conversation with.
15322	0	@USER Great news! Old moonbeam Just went into a coma!  Face With Tears of Joy 
75089	0	@USER OMG HE IS SO EXTRA ILY
21379	1	@USER @USER @USER Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!
43133	0	@USER @USER Unfortunately in America a system like that would be called racist. Liberals believe exams are racist against minority groups.
52102	0	@USER I know! She is still alive....but wondering if her career was railroaded? Odd! Loved her...especially that day!
59537	0	@USER @USER Guy you are always present...bet why? Lol
44209	0	@USER @USER what a baby! URL
96664	0	@USER you are very persuasive fam
12559	0	@USER THAT'S NOTHING NEW SHE WAS GOING TO VOTE NO ANYWAY.....WE WILL VOTE NO TO LIBERALS IN NOVEMBER.... URL
61914	0	@USER Burt. A cool dude.
32317	0	#MAGA! IF YOU ARE ALL IN FOR #TRUMP FOLLOW ME AND I WILL FOLLOW BACK.
94767	0	@USER thank u!! i am finally at the point where i am okay with using heat on it again i am so happy
64835	0	@USER Kind of like what trump does all the time huh?
41353	0	@USER Because a former Antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me.
52252	1	@USER Fuck em
91001	1	@USER Good move....he is the big loser
18495	0	@USER Let is get to the bottom of this! DM me your zipcode and I will check it out.  We have your back and we will make sure you are enjoying the BEST that TV has to offer ASAP!  Asterisk NevinBruce
76680	0	@USER @USER @USER @USER For the record I know Doug Jones personally and he is only a Sen. Bc we had no other credible choice. He won not be at the next election.
88013	0	@USER The president's feelings are totally opposite of CNN's feelings. So what does that say about CNN? They're all liberals.
66349	1	   @USER it's literally a narrative that is on par with Nazis punch, antifa punch, they are two sides of the same coin.     noooOOoOo one of these groups wants to exterminate or deport all PoC and Jews, the other just wants to prevent them from doing that, and this comparison benefits fash       
80561	1	@USER @USER There are many dumb arguments for gun control but this may be the dumbest and most common.
16052	0	@USER she is idkwhat is going on
49996	0	@USER @USER Yall need to chill he is having a really abysmal 2nd half. Rizzo had an abysmal 1st half. Its baseball it happens. Does he have things he still needs to work on yes. Has the power numbers dropped yes..... but he could bounce back at anytime. URL
77086	0	@USER Dude you are old!!! Lmao. PS: Go Pack Go!!!
10972	0	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER That is why Trump supporters can't even wear a hat without being abused. If they meet the animals on the left attack them. Antifa is a branch of the Communist-Socialist-Nazis Democrat Party.
69160	0	@USER The laughs I have gotten from you are enough.  Relieved Face 
28380	0	@USER @USER @USER well?
40252	0	@USER @USER @USER First of all— they do not even have pizza at Panera
39907	1	@USER @USER @USER please do not kill me. antifa on the other hand...
16164	0	@USER Did you see Shanahan say Spoon was not 100% healthy this game? Obviously no excuses if you are out there BUT maybe it is not the “all is doom” sort of thing it seemed during the game. Maybe he is still pretty good.
52824	0	@USER Good girl @USER
77294	1	@USER @USER She is an ugly black hearted troll URL
13420	0	@USER @USER @USER You are clearly not a pokemon master! I have almost 400 in rare candy alone. Over 150 legacy moveset pokemon. It just all depends on what you like to keep as collection pieces and what you value in the game.
16940	1	@USER Dont believe the hype.
83816	0	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Followed all new - MAGA.  Please follow back.
99156	0	#Protests Reported in #Sunderland  Except these are #football fan and one #flag says #WestBrom on it?!  Getting worse now even as I type?!  #MAGA #MEGA #MBGA #MCGA #Conservatives #Patriots #Muslims #FarLeft #Leftists (doomed to lose but do not realises it) #CivilWar soon? URL
11255	0	   @USER Liberals would still vote for him. They'll claim his comments were Taken out of context and that he is still a man of integrity.           
28841	1	@USER @USER We have been saved from you! MAGA!
79060	0	@USER You are bringing up honor and decency? With that yoyo in the picture? That is rich.
71682	0	@USER Good riddance.
17577	0	@USER She is a goddess
27503	0	   @USER Omg xD The worst (or the best, in my case is the best cuase it made me laught) part was her asking is he dead? does that hurts? poor thing...     and the rest standin there like     ....nope he is no suffering         so he is dead!         ...yeah, pretty dead           
59998	1	   @USER You can probably imagine all the SJW snowflakes that do not feel safe     working where there might be conservatives lurking in the shadows.  Conservatives are now the Ruskies of the 21st century.       
81119	0	@USER @USER I see May in the same light as yourself. Even the last election was about her and not the Conservatives.  A split is coming to the Tory partyvery soon!
28812	1	@USER This all I get  Crying Face  damn these haters deleting you IG for no reason... URL
84131	0	@USER Do you think Canadian liberals will actually blame Trudeau if he costs them this? Or as per standard push it off on us?
23179	0	@USER    You warned everyone about Josh Gordon the last 4 months on a daily basis.  I'm sure you are as shocked as I am of what transpired today.
28601	0	@USER @USER @USER Why can't liberals read??????  READ it AGAIN URL
64776	1	@USER SJSHSJ THATS MY JOB BITCH
95712	0	@USER Do they discuss Haiti?
69972	1	@USER @USER @USER What part of NO COLLUSION do not you get??? This is why you are a dumocrat
37115	0	@USER He is very skilled Face With Tears of Joy  Face With Tears of Joy 
80696	0	@USER You are amazing  Yellow Heart  Yellow Heart  Yellow Heart 
68163	0	@USER Fist pump was for the troops.
96789	1	   @USER if the reason for Farakans illegal values are because he is black or Muslim, that would be a reason to detest him. I believe his illegal values are simply a result of bad character, like his supporters!       
68629	1	@USER Let the leftist democrats riot in the streets with their antifa counterparts.
66109	0	@USER I thought Canada had strict gun control.  Help me understand what is happening.
19419	0	@USER They do not want you following people because they do not like conservatives! Sickening  how biased Twitter's management is. #TwitterLeftBias
32942	0	@USER He is doing life tho Expressionless Face 
74285	0	@USER It is SO VERY IMPORTANT between now and the midterms to get the word out that all the #democrats want people of color to believe is they support them - which as you know is SO false. How can the word spread even more to those who need to know? #MAGA #NAACP
